## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=CHMI_CHMI3_Nex1.insert_size_metrics.pdf INPUT=/io/cloudfuse/broad-public-datasets/CHM1_CHM13_WES/CHMI_CHMI3_Nex1.cram OUTPUT=CHMI_CHMI3_Nex1.insert_size_metrics.txt STOP_AFTER=50000000 REFERENCE_SEQUENCE=/io/cloudfuse/gcp-public-data--broad-references/hg38/v0/Homo_sapiens_assembly38.fasta    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 23 03:48:04 GMT 2023

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
393	373	87	1	223223971	399.387399	125.357838	17261651	FR	33	67	101	137	175	217	263	321	407	485	651			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
211	19082
212	19273
213	19781
214	20110
215	20353
216	20730
217	20990
218	21564
219	21905
220	22099
221	22549
222	23033
223	22807
224	23460
225	23572
226	24020
227	24811
228	25002
229	25438
230	25640
231	26227
232	26316
233	26437
234	26700
235	27241
236	27583
237	27697
238	28111
239	28779
240	28994
241	29327
242	29855
243	30034
244	30483
245	30545
246	31071
247	31331
248	31457
249	32538
250	32100
251	32733
252	32959
253	33183
254	33821
255	34033
256	34352
257	34255
258	34681
259	35573
260	35279
261	36427
262	35682
263	36443
264	36808
265	36822
266	37480
267	37184
268	37718
269	38505
270	38098
271	38850
272	39285
273	39520
274	39798
275	39548
276	40010
277	39963
278	40751
279	40635
280	41026
281	41391
282	41346
283	41838
284	41677
285	42224
286	42420
287	42708
288	42462
289	43133
290	43443
291	43290
292	44095
293	44008
294	44095
295	44753
296	44601
297	44611
298	45111
299	44953
300	45213
301	45130
302	45629
303	45963
304	45697
305	46096
306	46548
307	46384
308	46810
309	46725
310	47346
311	47172
312	47153
313	47431
314	47625
315	48159
316	48332
317	48113
318	48254
319	48544
320	48471
321	49148
322	48486
323	48822
324	49910
325	49390
326	49469
327	49355
328	49434
329	49539
330	50105
331	49551
332	50245
333	50649
334	50083
335	50818
336	50386
337	50583
338	50431
339	50675
340	50962
341	50924
342	51176
343	51077
344	51295
345	51639
346	51651
347	51728
348	51648
349	51140
350	51799
351	52437
352	51996
353	52043
354	51826
355	52568
356	52136
357	52221
358	52456
359	52111
360	52410
361	51994
362	52258
363	52455
364	52043
365	52569
366	52507
367	52394
368	52733
369	52457
370	52955
371	52682
372	53275
373	53289
374	52503
375	52732
376	53149
377	53078
378	53056
379	52771
380	52339
381	52746
382	52651
383	52871
384	52519
385	52618
386	52260
387	52640
388	52788
389	52529
390	52867
391	52886
392	52420
393	52292
394	52681
395	52255
396	52478
397	52497
398	52530
399	52221
400	52033
401	52461
402	52144
403	51922
404	52308
405	52226
406	51755
407	51855
408	51640
409	51959
410	51534
411	51147
412	51651
413	50973
414	51377
415	51156
416	51187
417	51324
418	50731
419	51256
420	50503
421	50726
422	50514
423	50489
424	50109
425	50176
426	50264
427	50019
428	49856
429	49756
430	49868
431	49549
432	49284
433	49230
434	49131
435	49247
436	49275
437	48568
438	48288
439	48512
440	48469
441	48569
442	48213
443	48030
444	47476
445	47676
446	47469
447	47769
448	47655
449	47271
450	46371
451	46545
452	46593
453	46524
454	46340
455	46069
456	45946
457	45678
458	45577
459	45263
460	45321
461	45621
462	44942
463	44969
464	44057
465	44161
466	44531
467	44192
468	44039
469	43820
470	42965
471	43497
472	43370
473	42335
474	42616
475	42245
476	42137
477	42303
478	41994
479	41445
480	41264
481	41419
482	41395
483	41072
484	40486
485	40183
486	39918
487	39936
488	39982
489	39388
490	39635
491	39152
492	38997
493	38590
494	38581
495	38145
496	38149
497	37773
498	38167
499	37592
500	37149
501	36892
502	36771
503	36632
504	36744
505	36028
506	36024
507	35765
508	35607
509	35112
510	35250
511	34955
512	34691
513	35038
514	34193
515	33877
516	33385
517	33526
518	33002
519	32908
520	32636
521	32845
522	32620
523	31971
524	31763
525	31473
526	31718
527	30975
528	30881
529	30607
530	30570
531	30138
532	30036
533	29982
534	29393
535	28892
536	29046
537	28872
538	28442
539	28177
540	28059
541	27980
542	27379
543	27830
544	27152
545	26580
546	26655
547	26216
548	25936
549	26031
550	25820
551	25467
552	25100
553	25189
554	25209
555	24650
556	24389
557	24436
558	23857
559	23876
560	23554
561	23428
562	23288
563	22738
564	22682
565	22520
566	21898
567	22171
568	21768
569	21578
570	21581
571	20758
572	20631
573	20572
574	20545
575	20304
576	20126
577	19874
578	19486
579	19514
580	19163
581	18923
582	18893
583	18790
584	18413
585	18453
586	18068
587	17894
588	17787
589	17386
590	17411
591	17022
592	16994
593	16843
594	16580
595	16524
596	16057
597	15991
598	15851
599	15371
600	15647
601	15366
602	15053
603	15092
604	14748
605	14737
606	14466
607	14229
608	14072
609	14044
610	13752
611	13485
612	13477
613	13223
614	13021
615	12929
616	12633
617	12639
618	12515
619	12381
620	12060
621	12048
622	11726
623	11673
624	11282
625	11374
626	11003
627	10954
628	10868
629	10732
630	10517
631	10564
632	10274
633	10146
634	10090
635	9665
636	9887
637	9549
638	9542
639	9400
640	9036
641	9242
642	8982
643	9064
644	8710
645	8517
646	8405
647	8328
648	8291
649	8267
650	8158
651	7926
652	7792
653	7859
654	7538
655	7560
656	7317
657	7243
658	7021
659	6942
660	7033
661	6736
662	6578
663	6532
664	6406
665	6343
666	6134
667	6319
668	6300
669	6163
670	6093
671	5769
672	5856
673	5685
674	5533
675	5394
676	5272
677	5442
678	5406
679	5186
680	5106
681	5134
682	4882
683	4794
684	4780
685	4784
686	4611
687	4537
688	4540
689	4299
690	4268
691	4106
692	4053
693	4137
694	4090
695	3841
696	3881
697	3779
698	3809
699	3655
700	3730
701	3612
702	3440
703	3373
704	3338
705	3309
706	3288
707	3245
708	3159
709	3119
710	2960
711	2921
712	3028
713	2867
714	2839
715	2784
716	2773
717	2732
718	2577
719	2610
720	2563
721	2444
722	2501
723	2415
724	2424
725	2343
726	2255
727	2255
728	2134
729	2227
730	2132
731	2013
732	2077
733	1975
734	2011
735	1813
736	1914
737	1852
738	1816
739	1732
740	1783
741	1786
742	1683
743	1715
744	1647
745	1610
746	1613
747	1634
748	1459
749	1505
750	1417
751	1488
752	1390
753	1398
754	1321
755	1252
756	1306
757	1377
758	1235
759	1213
760	1201
761	1214
762	1173
763	1142
764	1138
765	1156
766	1043
767	1133
768	1123
769	1007
770	971
771	1009
772	1033
773	957
774	965
775	902
776	886
777	877
778	888
779	826
780	806
781	786
782	834
783	789
784	794
785	748
786	727
787	803
788	695
789	686
790	683
791	693
792	670
793	643
794	664
795	639
796	640
797	599
798	585
799	555
800	560
801	581
802	552
803	565
804	514
805	562
806	504
807	485
808	476
809	490
810	497
811	446
812	466
813	477
814	449
815	441
816	416
817	425
818	441
819	381
820	415
821	376
822	368
823	368
824	339
825	357
826	335
827	361
828	371
829	334
830	324
831	320
832	301
833	306
834	306
835	298
836	304
837	294
838	281
839	290
840	248
841	277
842	275
843	252
844	248
845	268
846	239
847	259
848	208
849	237
850	251
851	205
852	244
853	224
854	207
855	221
856	233
857	193
858	192
859	181
860	188
861	196
862	196
863	187
864	164
865	169
866	164
867	158
868	192
869	166
870	157
871	174
872	162
873	174
874	153
875	155
876	134
877	134
878	153
879	129
880	137
881	140
882	118
883	117
884	128
885	132
886	119
887	118
888	96
889	120
890	100
891	125
892	117
893	87
894	101
895	101
896	92
897	107
898	104
899	106
900	88
901	91
902	89
903	82
904	104
905	104
906	89
907	84
908	78
909	85
910	86
911	83
912	87
913	84
914	78
915	79
916	93
917	73
918	67
919	82
920	80
921	82
922	82
923	68
924	63
925	66
926	64
927	60
928	71
929	57
930	64
931	75
932	53
933	52
934	71
935	73
936	56
937	50
938	59
939	53
940	53
941	48
942	48
943	53
944	37
945	59
946	62
947	44
948	51
949	39
950	53
951	72
952	42
953	42
954	33
955	37
956	41
957	49
958	37
959	38
960	43
961	31
962	40
963	35
964	50
965	37
966	34
967	38
968	34
969	45
970	23
971	43
972	25
973	38
974	42
975	33
976	35
977	21
978	33
979	44
980	41
981	39
982	26
983	33
984	23
985	34
986	24
987	28
988	27
989	33
990	23
991	25
992	22
993	19
994	20
995	25
996	22
997	13
998	14
999	13
1000	21
1001	14
1002	14
1003	12
1004	14
1005	12
1006	16
1007	6
1008	11
1009	7
1010	12
1011	9
1012	19
1013	12
1014	12
1015	18
1016	15
1017	15
1018	17
1019	14
1020	13
1021	8
1022	18
1023	19
1024	20
1025	9
1026	10
1027	13
1028	9
1029	11
1030	14
1031	10
1032	5
1033	12
1034	15
1035	11
1036	10
1037	12
1038	12
1039	14
1040	9
1041	12
1042	18
1043	9
1044	8
1045	18
1046	11
1047	19
1048	6
1049	14
1050	8
1051	10
1052	9
1053	8
1054	10
1055	11
1056	8
1057	9
1058	9
1059	8
1060	7
1061	7
1062	10
1063	12
1064	6
1065	4
1066	5
1067	8
1068	5
1069	7
1070	6
1071	3
1072	11
1073	7
1074	8
1075	7
1076	6
1077	4
1078	3
1079	12
1080	7
1081	2
1082	7
1083	6
1084	8
1085	8
1086	8
1087	7
1088	6
1089	8
1090	6
1091	13
1092	5
1093	10
1094	2
1095	6
1096	10
1097	9
1098	7
1099	3
1100	8
1101	9
1102	6
1103	3
1104	4
1105	3
1106	5
1107	6
1108	2
1109	6
1110	5
1111	5
1112	5
1113	7
1114	10
1115	9
1116	3
1117	4
1118	8
1119	4
1120	7
1121	4
1122	3
1123	9
1124	7
1125	5
1126	5
1127	2
1128	11
1129	7
1130	6
1131	6
1132	3
1133	1
1134	1
1135	5
1136	8
1138	2
1139	5
1140	1
1141	10
1142	2
1143	5
1144	5
1145	8
1146	4
1147	6
1148	3
1149	8
1150	4
1151	3
1152	2
1153	7
1154	7
1155	5
1156	6
1157	6
1158	5
1159	3
1160	7
1161	7
1162	6
1163	7
1164	23
1165	3
1166	4
1167	7
1168	4
1169	6
1170	6
1171	4
1172	3
1173	4
1174	7
1175	7
1176	1
1177	4
1178	3
1179	4
1180	6
1181	7
1182	3
1183	6
1184	6
1185	2
1186	3
1187	3
1188	1
1189	3
1190	6
1191	3
1192	7
1193	4
1194	5
1195	2
1196	2
1197	4
1198	4
1199	4
1200	1
1201	2
1202	5
1203	6
1204	1
1205	1
1207	2
1208	5
1209	4
1210	2
1211	2
1212	6
1213	3
1214	1
1215	5
1216	1
1218	4
1219	7
1220	5
1221	4
1222	5
1223	2
1224	5
1225	6
1226	1
1227	2
1228	3
1229	1
1230	4
1231	2
1232	2
1233	2
1234	1
1235	8
1236	2
1237	5
1238	5
1239	2
1240	4
1241	2
1242	4
1243	1
1244	5
1245	2
1246	5
1247	5
1248	4
1249	3
1250	3
1251	2
1252	2
1253	6
1254	4
1256	3
1257	8
1258	3
1259	1
1260	1
1261	3
1262	2
1263	3

