## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=CHM1_CHM13_WGS2.insert_size_metrics.pdf INPUT=/io/cloudfuse/broad-public-datasets/CHM1_CHM13_WGS2/CHM1_CHM13_WGS2.cram OUTPUT=CHM1_CHM13_WGS2.insert_size_metrics.txt STOP_AFTER=50000000 REFERENCE_SEQUENCE=/io/cloudfuse/gcp-public-data--broad-references/hg38/v0/Homo_sapiens_assembly38.fasta    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 23 03:48:05 GMT 2023

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
327	300	67	1	246597880	341.871873	114.662175	23310349	FR	25	51	77	105	135	169	211	271	377	495	845			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
202	35398
203	35901
204	36794
205	37516
206	38110
207	38690
208	39334
209	40045
210	41194
211	41667
212	42278
213	43115
214	43605
215	45278
216	45434
217	46263
218	47515
219	48473
220	48855
221	49882
222	50414
223	51960
224	52247
225	53816
226	54386
227	55224
228	56435
229	57382
230	57992
231	58969
232	60152
233	61091
234	62302
235	62910
236	63850
237	64743
238	65986
239	67298
240	68132
241	68779
242	69792
243	70755
244	71849
245	72352
246	73459
247	74126
248	75264
249	76341
250	77242
251	78596
252	79014
253	79983
254	80792
255	81661
256	82210
257	82932
258	84313
259	85591
260	86107
261	86611
262	87791
263	88629
264	90240
265	90285
266	91119
267	91666
268	91943
269	92187
270	93511
271	93593
272	94474
273	95397
274	95257
275	95743
276	96430
277	96916
278	97073
279	97706
280	97438
281	98363
282	98011
283	99177
284	99460
285	99709
286	99659
287	99946
288	99306
289	100365
290	100208
291	100220
292	100767
293	100647
294	100536
295	100841
296	100233
297	100725
298	100624
299	100697
300	100911
301	100525
302	99729
303	100750
304	100457
305	99851
306	100395
307	99704
308	99515
309	99085
310	98653
311	98302
312	98629
313	98393
314	98054
315	98033
316	97352
317	97057
318	96532
319	96543
320	96403
321	95875
322	95239
323	95147
324	95163
325	94437
326	94234
327	93820
328	93477
329	92926
330	92279
331	91487
332	92071
333	91324
334	90718
335	89906
336	90195
337	89039
338	89400
339	88970
340	87718
341	87526
342	86990
343	86407
344	86265
345	85385
346	84782
347	84328
348	83737
349	83281
350	83122
351	81931
352	81901
353	80790
354	80867
355	80190
356	79050
357	78318
358	77852
359	77796
360	77349
361	76237
362	76614
363	75755
364	75413
365	74492
366	73801
367	73328
368	73045
369	72709
370	72099
371	71172
372	70913
373	70111
374	69779
375	70003
376	69145
377	68190
378	68379
379	68228
380	67277
381	66295
382	66714
383	65575
384	65337
385	64972
386	64446
387	64156
388	63677
389	62782
390	62988
391	62320
392	61747
393	61581
394	60672
395	60741
396	59827
397	59678
398	59219
399	59075
400	58365
401	58145
402	57200
403	56941
404	56615
405	55763
406	55691
407	55040
408	54724
409	54253
410	53570
411	53156
412	52586
413	52511
414	51983
415	51927
416	51052
417	51007
418	49920
419	49990
420	49411
421	48873
422	48557
423	47851
424	47635
425	47085
426	46939
427	46279
428	46204
429	45783
430	45005
431	45116
432	44461
433	44288
434	43566
435	43113
436	43034
437	42130
438	42050
439	41766
440	41165
441	41149
442	40488
443	39989
444	40003
445	39658
446	38969
447	38561
448	38458
449	38319
450	37410
451	37398
452	36873
453	36354
454	36140
455	35872
456	35394
457	35260
458	35104
459	34702
460	34236
461	33964
462	33475
463	32928
464	32667
465	32742
466	32209
467	31797
468	31343
469	31148
470	30754
471	30607
472	30039
473	29717
474	29822
475	29348
476	29194
477	29004
478	28410
479	27998
480	27913
481	27269
482	27352
483	27098
484	26867
485	26480
486	26160
487	26130
488	25756
489	25189
490	25163
491	24905
492	24745
493	24308
494	24031
495	23933
496	23663
497	23304
498	22960
499	23330
500	22782
501	22517
502	22260
503	22171
504	21921
505	21927
506	21449
507	21330
508	20883
509	20772
510	20503
511	20259
512	20222
513	19674
514	19607
515	19451
516	19463
517	18956
518	18916
519	18693
520	18664
521	18382
522	18306
523	18037
524	17748
525	17595
526	17052
527	17053
528	17162
529	16951
530	16602
531	16507
532	16209
533	16291
534	15932
535	15827
536	15545
537	15511
538	15554
539	15121
540	14947
541	14766
542	14735
543	14522
544	14304
545	14198
546	14069
547	13887
548	13638
549	13688
550	13658
551	13332
552	13243
553	13039
554	13029
555	12938
556	12604
557	12631
558	12293
559	12155
560	12177
561	11916
562	11908
563	11710
564	11590
565	11303
566	11328
567	11244
568	11136
569	10889
570	10806
571	10599
572	10479
573	10547
574	10344
575	10284
576	10187
577	10075
578	9999
579	9765
580	9687
581	9461
582	9453
583	9375
584	9403
585	9268
586	9141
587	8978
588	8919
589	8753
590	8773
591	8602
592	8585
593	8528
594	8317
595	8427
596	8298
597	7935
598	7997
599	8161
600	7916
601	7587
602	7682
603	7669
604	7639
605	7581
606	7504
607	7334
608	7225
609	7168
610	7109
611	6930
612	6843
613	7012
614	6846
615	6611
616	6621
617	6607
618	6485
619	6447
620	6308
621	6062
622	6353
623	6229
624	6225
625	5994
626	5949
627	5967
628	5676
629	5691
630	5776
631	5609
632	5614
633	5476
634	5458
635	5407
636	5356
637	5350
638	5230
639	5239
640	5129
641	5099
642	5028
643	5062
644	4936
645	4802
646	4872
647	4684
648	4740
649	4581
650	4612
651	4462
652	4427
653	4429
654	4245
655	4436
656	4244
657	4333
658	4231
659	4146
660	4135
661	4111
662	3994
663	3925
664	3947
665	3945
666	3901
667	3828
668	3746
669	3775
670	3703
671	3613
672	3556
673	3461
674	3462
675	3556
676	3418
677	3380
678	3410
679	3282
680	3329
681	3150
682	3091
683	3251
684	3220
685	3021
686	3079
687	3040
688	2944
689	3012
690	2982
691	2946
692	2814
693	2735
694	2739
695	2742
696	2688
697	2740
698	2642
699	2658
700	2641
701	2493
702	2549
703	2564
704	2612
705	2438
706	2411
707	2461
708	2374
709	2290
710	2325
711	2307
712	2328
713	2332
714	2280
715	2206
716	2195
717	2142
718	2144
719	2099
720	2034
721	2099
722	2032
723	2002
724	2025
725	1985
726	1945
727	1873
728	1957
729	1960
730	1870
731	1817
732	1862
733	1822
734	1816
735	1666
736	1683
737	1695
738	1613
739	1673
740	1656
741	1690
742	1645
743	1588
744	1589
745	1586
746	1598
747	1566
748	1526
749	1509
750	1543
751	1549
752	1510
753	1490
754	1521
755	1472
756	1395
757	1385
758	1371
759	1352
760	1317
761	1271
762	1238
763	1327
764	1214
765	1232
766	1211
767	1235
768	1259
769	1254
770	1242
771	1164
772	1155
773	1196
774	1176
775	1140
776	1073
777	1049
778	1091
779	1085
780	1056
781	1058
782	1046
783	993
784	980
785	988
786	979
787	899
788	965
789	968
790	888
791	882
792	886
793	861
794	834
795	841
796	825
797	846
798	790
799	786
800	747
801	743
802	774
803	715
804	743
805	704
806	693
807	687
808	682
809	603
810	635
811	616
812	660
813	633
814	591
815	596
816	588
817	569
818	574
819	554
820	516
821	511
822	554
823	503
824	502
825	481
826	485
827	532
828	459
829	507
830	382
831	461
832	396
833	487
834	411
835	427
836	417
837	388
838	406
839	417
840	459
841	368
842	414
843	394
844	348
845	378
846	383
847	390
848	344
849	360
850	340
851	350
852	350
853	333
854	345
855	348
856	360
857	308
858	277
859	334
860	324
861	301
862	294
863	295
864	292
865	281
866	257
867	288
868	254
869	252
870	256
871	249
872	269
873	254
874	234
875	254
876	272
877	230
878	232
879	227
880	216
881	216
882	209
883	222
884	205
885	228
886	207
887	192
888	201
889	204
890	196
891	192
892	213
893	183
894	165
895	185
896	183
897	194
898	156
899	161
900	177
901	183
902	180
903	173
904	174
905	170
906	160
907	182
908	165
909	137
910	156
911	155
912	142
913	178
914	134
915	139
916	140
917	159
918	130
919	142
920	154
921	137
922	123
923	102
924	130
925	124
926	136
927	113
928	133
929	103
930	116
931	113
932	117
933	125
934	131
935	108
936	116
937	118
938	119
939	108
940	96
941	111
942	115
943	78
944	95
945	91
946	106
947	85
948	84
949	96
950	98
951	77
952	77
953	80
954	103
955	86
956	85
957	77
958	94
959	79
960	81
961	88
962	98
963	66
964	84
965	71
966	90
967	83
968	89
969	74
970	72
971	75
972	84
973	61
974	81
975	79
976	71
977	73
978	77
979	69
980	85
981	73
982	57
983	63
984	53
985	67
986	60
987	76
988	68
989	71
990	65
991	62
992	60
993	56
994	70
995	60
996	53
997	68

